link, likes, dislikes, level, accepted, submissions, acceptance_rate
https://leetcode.com/problems/delete-duplicate-folders-in-system, 145, 41, Hard, 3792, 6370, 0.6
https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work, 317, 92, Medium, 12646, 34477, 0.37
https://leetcode.com/problems/minimum-garden-perimeter-to-collect-enough-apples, 186, 60, Medium, 10214, 19485, 0.52
https://leetcode.com/problems/count-number-of-special-subsequences, 318, 6, Hard, 6923, 13628, 0.51
https://leetcode.com/problems/delete-characters-to-make-fancy-string, 190, 9, Easy, 16587, 29523, 0.56
https://leetcode.com/problems/check-if-move-is-legal, 74, 165, Medium, 6471, 15118, 0.43
https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations, 351, 27, Medium, 4763, 11395, 0.42
https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings, 110, 23, Hard, 1836, 6424, 0.29
https://leetcode.com/problems/check-if-string-is-a-prefix-of-array, 184, 27, Easy, 22121, 40484, 0.55
https://leetcode.com/problems/remove-stones-to-minimize-the-total, 245, 11, Medium, 15974, 28748, 0.56
https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced, 560, 24, Medium, 20214, 30610, 0.66
https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position, 326, 5, Hard, 7748, 17269, 0.45
https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word, 225, 9, Easy, 23478, 29613, 0.79
https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors, 224, 15, Medium, 15046, 31387, 0.48
https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements, 99, 263, Medium, 6423, 20078, 0.32
https://leetcode.com/problems/last-day-where-you-can-still-cross, 387, 7, Hard, 7681, 15881, 0.48
https://leetcode.com/problems/find-if-path-exists-in-graph, 644, 33, Easy, 58174, 115716, 0.5
https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter, 271, 13, Easy, 16124, 22403, 0.72
https://leetcode.com/problems/maximum-matrix-sum, 251, 9, Medium, 8964, 20404, 0.44
https://leetcode.com/problems/number-of-ways-to-arrive-at-destination, 661, 18, Medium, 11224, 34842, 0.32
https://leetcode.com/problems/number-of-ways-to-separate-numbers, 192, 22, Hard, 2446, 10497, 0.23
https://leetcode.com/problems/find-greatest-common-divisor-of-array, 283, 14, Easy, 32352, 41228, 0.78
https://leetcode.com/problems/find-unique-binary-string, 403, 20, Medium, 19082, 30497, 0.63
https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements, 415, 76, Medium, 13450, 40889, 0.33
https://leetcode.com/problems/find-array-given-subset-sums, 192, 18, Hard, 2687, 5538, 0.49
https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores, 218, 27, Easy, 17280, 31930, 0.54
https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array, 339, 55, Medium, 22749, 50978, 0.45
https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks, 433, 26, Medium, 9961, 32019, 0.31
https://leetcode.com/problems/number-of-unique-good-subsequences, 324, 6, Hard, 6102, 11794, 0.52
https://leetcode.com/problems/find-the-middle-index-in-array, 298, 16, Easy, 20756, 31362, 0.66
https://leetcode.com/problems/find-all-groups-of-farmland, 293, 16, Medium, 11434, 17174, 0.67
https://leetcode.com/problems/operations-on-tree, 183, 36, Medium, 5861, 14239, 0.41
https://leetcode.com/problems/the-number-of-good-subsets, 181, 4, Hard, 3126, 9432, 0.33
https://leetcode.com/problems/count-special-quadruplets, 209, 110, Easy, 16750, 29097, 0.58
https://leetcode.com/problems/the-number-of-weak-characters-in-the-game, 510, 19, Medium, 13411, 42630, 0.31
https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms, 296, 46, Medium, 5196, 14860, 0.35
https://leetcode.com/problems/gcd-sort-of-an-array, 224, 4, Hard, 4249, 9253, 0.46
https://leetcode.com/problems/reverse-prefix-of-word, 242, 4, Easy, 26296, 33595, 0.78
https://leetcode.com/problems/number-of-pairs-of-interchangeable-rectangles, 186, 19, Medium, 14118, 33472, 0.42
https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-subsequences, 360, 26, Medium, 9912, 19013, 0.52
https://leetcode.com/problems/smallest-missing-genetic-value-in-each-subtree, 241, 13, Hard, 4310, 10299, 0.42
https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k, 410, 10, Easy, 33281, 39874, 0.83
https://leetcode.com/problems/find-original-array-from-doubled-array, 433, 37, Medium, 28587, 77516, 0.37
https://leetcode.com/problems/maximum-earnings-from-taxi, 442, 9, Medium, 9777, 23115, 0.42
https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous, 331, 3, Hard, 5142, 11315, 0.45
https://leetcode.com/problems/final-value-of-variable-after-performing-operations, 346, 74, Easy, 68678, 76881, 0.89
https://leetcode.com/problems/detect-squares, 221, 76, Medium, 11896, 27948, 0.43
https://leetcode.com/problems/longest-subsequence-repeated-k-times, 156, 49, Hard, 3649, 6707, 0.54
https://leetcode.com/problems/maximum-difference-between-increasing-elements, 279, 10, Easy, 23864, 43239, 0.55
https://leetcode.com/problems/grid-game, 386, 9, Medium, 9411, 22825, 0.41
https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword, 129, 130, Medium, 6477, 13863, 0.47
https://leetcode.com/problems/the-score-of-students-solving-math-expression, 124, 56, Hard, 3575, 10808, 0.33
https://leetcode.com/problems/convert-1d-array-into-2d-array, 214, 16, Easy, 21057, 34684, 0.61
